episode_id,collection_id,show_name,stratum,episode_title,episode_description,gold_has_guests,gold_names,
9c7855ba2c620125,1111319839,The Conversation with Dasha Burns,medium,From SNL meme to Trump whisperer (with Sen. Katie Britt),"Sen. Katie Britt (R-Ala.) is a young rising star in the Republican Party. She sits down with POLITICO’s Dasha Burns to talk about how the war against Iran could affect Americans at home and the urgency of the midterm elections for the Republican Party. Britt also gets candid about her unique relationship with the White House and what it was like having Scarlett Johansson play her on SNL. And later on the show, Dasha breaks down the exciting Texas primary elections with a panel of journalists. Elaine Godrey of “The Atlantic,” Gabby Birenbaum of “The Texas Tribune” and POLITICO’s Adam Wren share their takeaways. Learn more about your ad choices. Visit megaphone.fm/adchoices",YES,Katie Britt,
2734842f3e0e7cc8,124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",medium,#1532 Accelerationism is the Brick on the Gas Pedal of the Runaway Car of Society,"Air Date 12/17/2022 Today, we take a look at the fringe philosophy of accelerationism that is having a bigger impact on society than you will likely have realized as it's been behind some of the worst terror attacks in recent years and is likely behind attacks on infrastructure targeting society as a whole. Be part of the show! Leave us a message or text at 202-999-3991 or email Jay@BestOfTheLeft.com Transcript BestOfTheLeft.com/Support (Get AD FREE Shows and Bonus Content) BestOfTheLeft.com/HOLIDAY (BOTL GIFT GUIDE!) Join our Discord community ! SHOW NOTES Ch. 1: The Dystopian Philosophy You've Never Heard Of - Philion - Air Date 6-26-22 Explaining the origins of Accelerationism Ch. 2: A Foiled Plot in Texas: The Threat of Violent Fringe Online Networks - Tech Against Terrorism - Air Date 2-22-22 Matt Kriner is an intelligence analyst with almost a decade of experience researching and analyzing US domestic violent extremists, transnational far-right extremism, and radicalization. Ch. 3: ""It only takes a few"" - White Hot Hate - Air Date 11-28-21 Some members of The Base are planning deadly attacks that they hope",NO,,
5e7a85c5fab1a3f6,1767877239,No Gods No Mayors,small,"PREVIEW: Donald E. Stephens, with Charles Austin","ALERT ALERT ALERT! NO GODS NO MAYORS LIVE IN LONDON! APRIL 25 and 26! Three shows! Wer'e joined this week by Charles from Trouble in River City! Not quite a company town, not just a tax haven. A sort of Spiritual Delaware. The Ireland of the mind. The Grand Cayman of the soul. Mayor Mattie takes us now, to Cook County's most Monegasque locale: Rosemont, Illinois, and the one family with a vice grip on its politics. Join us over on the Patreon to hear the whole thing!",YES,Charles Austin,
158e4b8b5d499c11,354628391,Renegade Talk Radio,large,Episode 3484: Election Fraud in California? Recall Voters Informed They Voted When They Hadn’t,"Meanwhile, Big Tech, who's heavily invested in Big Pharma, works around the clock to conceal the real number of deaths and suppress treatment",NO,,
66fd183b4262b9d6,1798460240,10 Minute Drill,small,Hochul says quiet part out loud; Dems admit shutdown is hurting wrong people; teachers unions prep for midterms,"March 19 Episode – Strait of Hormuz, Shutdown Fallout, Hochul’s Tax Plea & Big Tech’s Energy Problem The global and domestic pressure points are converging—and even Democrats are starting to admit the consequences. In today’s episode of the 10 Minute Drill, we break down the growing crisis in the Strait of Hormuz, as NATO leaders signal urgency in keeping one of the world’s most critical shipping lanes open. What happens next could have major implications for energy markets and global stability. Back home, cracks are forming in the shutdown narrative. Prominent Democrats are now acknowledging that the strategy is hurting everyday Americans—federal workers missing paychecks, long lines growing, and frustration mounting. We also take a closer look at New York Governor Kathy Hochul’s candid admission that high earners are leaving the state—and her call to bring them back to fund expansive social programs. Plus, newly revealed teachers union training materials raise questions about political activism in K-12 education, while the rapid rise of AI exposes a growing reality: America’s tech dominance depends on energy dominance. And finally, we break down the latest from Texas Democrat James Talarico, whose positions on energy, food, and culture highlight where parts of the left are heading. All that and more in today’s 10 Minute Drill—fast, focused, and unfiltered. - Intro - NATO & the Strait of Hormuz - Democrats Shutdown Causing Pain - Hochul wants more money - Teachers Unions Indoctrination - Tech & Energy - James Talarico the Vegan",NO,,
9d350039c05d7e46,1200016351,Pod Save the World,medium,TMZ at the DMZ,"The latest rumors and news about North Korean leader Kim Jong Un’s health, and what we know about a possible succession process. Iran launches a military satellite and Trump tries to use the Iran nuclear deal to put in place more sanctions. Brazilian President Jair Bolsonaro could face legal trouble. New Zealand eliminates the coronavirus while doctors in the UK race to produce a vaccine and major countries come together to discuss how to accelerate work on treatments. The latest in Afghanistan and Navy Capt. Brett Crozier might get his job back. Then journalist Rana Ayyub talks with Ben about life in India during COVID.",YES,Rana Ayyub,
1c5b51e02f8377db,1640311112,The Necessary Conversation,small,Authoritarian America,"The Kultgens discuss: 1. Trump's Inauguration 2. TikTok 3. Mike Johnson's Conditional Disaster Aid Kitty's Name Origin 4. Hegseth's Confirmation Hearing 5. Oklahoma's Divorce Laws 6. Trump's Hollywood Ambassadors If you have a question for anyone on the show, record it in a 1 minute or under audio or video clip and send it to: thenecessaryconversationpod@gmail.com",NO,,
de673fbfcdb9352e,1635446643,The Coffee Klatch with Robert Reich,medium,"It's Affordability, Stupid! | The Coffee Klatch for Saturday, December 13, 2025","Friends, Today, Heather and I — along with our Gen Z associates Katie Milne and Vishal Shankar — explore why the Republican Party is in near revolt against Trump. Congressional Republicans repeatedly rebuked him this week. Twenty House Republicans joined Democrats in passing a discharge petition to restore union rights to federal workers; 14 signed on to another discharge petition to prevent members of Congress from trading stocks. Meanwhile, a Democrat won the race to become mayor of Miami (for the first time in 30 years), and the Indiana Senate rejected a congressional redistricting plan despite Trump’s pressure campaign on Republican lawmakers. Why is Trump losing so badly now? Because his polls are plummeting. He refuses to acknowledge how difficult it is for most Americans to make ends meet — calling the affordability crisis a “sham” cooked up by Democrats, while his tariffs continue to jack up prices. Please pull up a chair, grab a cuppa, and join in the discussion. This is a public episode. If you'd like to discuss this with other subscribers or get access to bonus episodes, visit robertreich.substack.com/subscribe",YES,Katie Milne; Vishal Shankar,
7361a86f9a076f23,1351411911,The TPM Show with Josh and Kate,medium,Ep. 186: A Rough Spot,"Josh and Kate discuss a group of House centrists trying to decouple the infrastructure bills, the start of the redistricting process, and the ongoing COVID-19 pandemic of the unvaccinated. See Privacy Policy at and California Privacy Notice at .",NO,,
08f926dab1660e97,1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,small,Why Politicians are Launching Podcasts Ahead of 2028,"With just a week until Election Day, Scott and Jessica break down the races shaping the final stretch — from Andrew Cuomo’s last-minute unlikely comeback bid in New York City to Abigail Spanberger and Mikie Sherrill testing whether moderation still wins in purple America. Plus, California’s Prop 50 could shift the balance of power in Congress. Then: why every ambitious politician suddenly has a podcast, and why Kamala Harris hints she might not be done with presidential politics just yet. Follow Jessica Tarlov, @JessicaTarlov. Follow Prof G, @profgalloway. Follow Raging Moderates, @RagingModeratesPod. Subscribe to our YouTube Channel: Learn more about your ad choices. Visit podcastchoices.com/adchoices",NO,,
9508dc88327f24a8,1456850698,The Graham Allen Show,large,EP 566 | AMERICA OFFICIALLY UNDER ATTACK; WW3 Is Coming! + Lockdowns Are Coming For The Elections!!,"Yemen's Houthis have OFFICIALLY attacked a US naval ship, this is an act of war!! How will America respond?? AND North Korea, Venezuela, and China are becoming more hostile... Also, are we about to experience covid 2.0?? The new china outbreak has spread into Europe, India is taking preventive measures, and more outbreaks seem to be popping up in America... ► Today's Sponsors: Try out America's Marketplace: Protect your savings with the precious metal IRA specialist. www.birchgold.com Text: Graham to 989898 Same 5G Network. Half the cost. Protect yourself and your marriage today. Code: Graham Restored Vows, a FREE porn recovery series for couples: covenanteyes.sjv.io/c/4758053/387466/5624?u=start.covenanteyes.com/restored-vows/ ► Watch LIVE on Rumble: ► Support freedom with 9/12 Merch: Learn more about your ad choices. Visit megaphone.fm/adchoices",NO,,
a5d5d7f5166ef22c,1636762428,Dad Saves America,small,"Greg Lukianoff On Cancel Culture, Free Speech & Censorship | The Show","Greg Lukianoff, a First Amendment lawyer and President of the Foundation for Individual Rights and Expression (FIRE), dives headfirst into the pressing issues of free speech and the impact of cancel culture in academia. Lukianoff discusses the troubling trends at prestigious universities, where ideological bias butts up against claims of political neutrality, especially highlighted during recent intense protests over the Israel-Hamas conflict. He presents a compelling, data-backed narrative from his latest book, The Canceling of the American Mind , co-authored with Rikki Schlott, revealing how a culture of censorship is stifling discourse and academic freedom. Lukianoff is also known for co-authoring The Coddling of the American Mind with Jonathan Haidt. _____________________________________ The Canceling of the American Mind : The Coddling of the American Mind :",YES,Greg Lukianoff,
7dee8c47e1ee8f5d,956270301,Rational Security,medium,"The ""Mar-a-Lago Thumb Drive Lady"" Edition","A White House official claims more than two dozen denials for security clearances were overturned. Six months after Saudi agents killed journalist Jamal Khashoggi, what has changed in the U.S-Saudi relationship? And oversight committees gear up for the post-Mueller era. Hosted on Acast. See acast.com/privacy for more information.",NO,,
1644bbfd4697e7f3,1721813926,Bad Hasbara - The World's Most Moral Podcast,small,"127: Flip Flop Mode Squad, with Narcy","Matt and Daniel are joined by Canadian rapper and professor Narcy to award AOC supporters the prestigious Fell For It Again Award, to call for an end to rapper-style abbreviations of politicians' names, and to consider the plight of Canadian IDF soldiers too scared to order their usual Teen Burger at root beer-branded meat sandwich purveyor A&W. Please donate to Gaza City Flour Fund: Get All Narcy's links at his bio here: Get your tickets for Bad Hasbara Live in NYC, they're almost sold out! October 10: October 11: Standup Comedy October 13 with Matt Lieb, Francesca Fiorentini and Daniel Maté: See Francesca Fiorentini and Matt Lieb! August 1 in Seattle, WA: August 28 in Houston, TX: Subscribe to the Patreon What’s The Spin playlist: Subscribe/listen to Bad Hasbara",YES,Yassin Alsalman,
e02af894a0f299a7,1574741668,American Prestige,small,Bonus - Homeland Empire and Trump 2.0 w/ Nikhil Pal Singh (Preview),Subscribe now for the full episode. Nikhil Pal Singh joins Danny and Derek to discuss Trump’s second term and the consolidation of executive power. They talk about how Trump’s second term differs from the first; revenge politics and the liberal “lawfare” frame; mass deportation and the war on migrants; “domains of rightlessness” and undocumented people as a lever to expand state power; the imperial presidency and unitary executive theory; how the carceral state and the war on terror laid the groundwork for Trump 2.0; the breakdown of postwar liberal anti-fascist constraints and the collapse of the Nazi taboo; and China and spheres of influence. Read Nikhil’s essay “Homeland Empire.” Learn more about your ad choices. Visit megaphone.fm/adchoices,YES,Nikhil Pal Singh,
4e612d1e7e84d528,1509826894,RealClearPolitics Podcast,medium,The Release of the Hostages,"Andrew Walworth, Tom Bevan and Carl Cannon discuss the release of the hostages from Gaza, President Trump’s address to the Knesset, and the global summit on the future of Gaza held in Egypt today. Then, they talk about Vice President JD Vance’s appearance on ""ABC This Week with George Stephanopoulos,"" where they clashed over questions about Tom Homan and $50,000 in cash that he allegedly took from undercover FBI agents. They also discuss Virginia gubernatorial candidate Abigail Spanberger’s response to questions about trans athletes in women’s locker rooms, and whether that issue will cost her in this November’s election. And, they chat about a House GOP proposal to withhold funds to jurisdictions that celebrate indigenous people’s day instead of Columbus Day, and NY Mayor Eric Adams’ plan to designate two statues of Christopher Columbus as historic monuments in order to keep Zohran Mamdani, if elected, from removing them. Finally, RealClear Defense Editor David Craig joins the guys to discuss the 250th anniversary of the U.S. Navy and the role of naval power in future conflicts. Hosted by Simplecast, an AdsWizz company. See for information about our collection and use of personal data for advertising.",YES,Andrew Walworth; Tom Bevan; Carl Cannon,
6062300dfd43ee57,1767877239,No Gods No Mayors,small,PREVIEW: Nayib Bukele,"This week we’re talking about Salvadoran Pete Campbell and also [no spoilers for Nova’s theory], Nayib Bukele, who you might know from the news as being Comprador Hitler. Municipal meeting minutes include: We talk about the popcorn man finally, a less funny coup as well, EldestSon_finalFINAL.docx, I ❤️ N, my brother Grima Wormtongue, and an end to the nephew killing. Join the Mayoral Benevolent Fund to listen to the whole thing!",NO,,
522711c5cb4fd713,1432118523,The Damage Report with John Iadarola,large,Remembering 9/11,"Remembering 9/11 and how it still affects our country 18 years later. Jose Caballero LIVE on Kamala Harris' VA proposal, and how he managed to get his Dem opponent in the CA-53 primary - a 20-year-Incumbent - to drop out. Evaluating Trump's claims about voter fraud and what is actually threatening our right to vote. AOC renews the impeachment debate, going after Senate Republicans. A referee tried to disqualify a high-school swimmer because of her swimsuit. Cohost: Jayar Jackson Guest: Jose Caballero Hosted on Acast. See acast.com/privacy for more information. Learn more about your ad choices. Visit podcastchoices.com/adchoices",YES,Jayar Jackson; Jose Caballero,
e318462e69099a20,73330715,On the Media,large,"Big Sky, Dark Money","With President Trump's nomination of federal judge Brett Kavanaugh, the Supreme Court will likely be locked up by the political right for a generation. This is in large part thanks to a historic decision made in 2010 by the court’s then-shakier conservative majority: the Citizens United ruling, which fundamentally reshaped the political landscape of the United States by unleashing floods of political spending, particularly in the form of untraceable ""dark money."" For the state of Montana, the post- Citizens United world has brought back old memories: over a century ago, copper kings like William A. Clark used their vast wealth to control the state and buy up political power. In 1912, the state responded by passing one of the first campaign finance laws in the nation, banning corporate political spending entirely. That law was struck down by the Supreme Court in 2012, but Montanans have continued to push back against corporate political spending using other means. A new documentary, Dark Mone y , uses Montana as a microcosm to explain the reality of campaign finance in the United States today. Bob speaks with director Kimberly Reed about the documentary and why she's hopeful that, despite the unbalanced playing field, positive change is possible. On the Media is supported by listeners like you. Support OTM by donating today ( ). Follow our show on Instagram , Bluesky , TikTok and Facebook @onthemedia, and share your thoughts with us by emailing onthemedia@wnyc.org. Hosted by Simplecast, an",YES,Kimberly Reed,
eef9a8e6e2cecc32,1535384390,Ruthless Podcast,large,Deprogramming the Libs,"Hollywood Henn joins the fellas for a discussion of news, culture and sports. Learn more about your ad choices. Visit podcastchoices.com/adchoices",YES,Hollywood Henn,
09cb39c911de3772,1506127536,Making the Argument with Nick Freitas,medium,Can Greenland Break Free from Denmark? The People's Right to Choose Independence in 2026,"With President Trump's push for Greenland heating up, many are asking: Can the people of Greenland actually vote to separate from Denmark and become fully independent? In this episode, we dive into the legal reality, the self-determination rights of Greenlanders, current polls showing strong but cautious support, and what this means amid U.S. pressure. We'll answer: Do Greenlanders have the power to choose their future, or is Denmark holding the final say – and how does this align with conservative values of sovereignty and self-reliance? SPONSOR: Lear Capital The best way to invest in gold and silver is with Lear Capital. Get your FREE Gold and Silver investor guides from Lear Capital. And, receive up to $15,000 in FREE bonus metals with a qualified purchase. ----- It's almost Valentine's Day, and that means coffee mugs with innuendos on them. Grab one or more for your lovely spouse that shows them how you really feel. Scan the QR code, or use the link in the description to order by February 1st, in order for it to get there by Valentine's Day! ----- GET YOUR MERCH HERE: BECOME A MEMBER OF THE IC: Instagram: www.instagram.com/nickjfreitas/ Facebook: Twitter: YouTube: TikTok: Introduction to Greenland's Sovereignty Historical Context of U.S. Interest in Greenland The Legal Ownership of Greenland Self-Determination and Greenland's Political Landscape Strategic Importance of Greenland U.S. and Denmark: A Complex Relationship European Military Presence in Greenland The Future of Greenland: Negotiation or Conflict? Conclusion and Future Considerations",NO,,
