topic,level,more,less,max_kappa,n_nonzero
71,Liberal,omar's ilhan mace's bebe bothersome tanden omar neera bartender must-win emmer shanna sullenberger conciliar cheadle,millions future means question argument deal better example lots let's view matter ready set leaders,9.02583121191859,1033
71,Conservative,jodi feng orville schiff's electoralism roughing al-said el-sayed houlihan searchlight sanders' bernie paolo pammy roughed,able i'll half happening lost hours number early anybody control year job stop everybody incredible,8.62698421796777,927
72,Liberal,goobers kava pammy scalps lewandowski smartwatch boozy newland noem's predication confidants wikileaks kristi hirono homan,seeing effect path happening elected radical coming finally single killed places best agreement they've low,8.05292560793078,1696
72,Conservative,cheadle gorka jttf d'alene fitton coeur asac monaco's supervisory tori seb plotters o'boyle perjuring ausa,policies leaders love hate terms challenge worse super truly insane policy segment watch losing western,8.21034525646553,1839
73,Liberal,elle mendoza callers bruce ab marisa caller kung chinatown madrigal vegetarian oakland's saratoga hattiesburg antoinette,attack wants clearly quote anybody somebody control word days person left they'll certain a- a-hole,8.70918501070028,727
73,Conservative,marjorie greene's greene factuality victor o'hare willie evan dunkin' moody stretchy carrie methadone victor's athens,problem bit able job number interesting great better yes change process possible a- a-hole a-list,9.26347917026129,434
74,Liberal,fuentes draper yiannopoulos disinfo gannett purposed charles's pinocchios bothersome donahue reiner's islamification wrestlemania pilate notary,question smaller impact ask forward team security facing living versus change aware address answer difference,7.65034590506987,2129
74,Conservative,colvett valhalla harpo harpole tpsa dming harple serendipity vigils mccoy gimp gary's tatum dore kieran,washington terms elected particularly gap we'll weak safety american historically performance traditional operating red extent,8.29592423986663,1725
75,Liberal,thiessen tributes charleston shat carolinians kudlow beau hereditary nagasaki manger iso jeb kook duopoly mj,a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba aback abandon,8.43402187385027,178
75,Conservative,zealously rorschach rittenhouse tomahawks mastering coroner's panetta thumbnail panikins occam's neoconservative emanuel throwback boebert reunited,a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba aback abandon,8.34612442400952,118
