item,label,HS or less_b,HS or less_p,HS or less_pw,HS or less_N,some college_b,some college_p,some college_pw,some college_N,BA+_b,BA+_p,BA+_pw,BA+_N,inter_b,inter_p,inter_pw,q_inter,q_low
Q22,people like me valued,-0.07823363325548036,0.276874734350475,0.215,258,0.036667692628634264,0.7216471735239056,0.7125,466,-0.10846872526997065,0.19399531128466332,0.1775,471,-0.07535413366104732,0.12556265257031413,0.1925,0.5312266070282521,0.9739104460078205
Q23,citizens have power,-0.052403408586984196,0.7500667323216057,0.715,261,0.01744150376244178,0.8452969996392738,0.8075,464,-0.017440311115014335,0.8223159178440566,0.7675,470,-0.005710560567000788,0.8811488525449618,0.8825,0.9927004800111023,0.9943969590492241
Q29,democracy doing well,-0.23079227236738992,0.00828234240241896,0.0075,258,0.042637295467487304,0.6691204891777507,0.5725,462,-0.002692929950177232,0.9705744810841612,0.9675,465,0.0019298032009854305,0.9670540605388788,0.9575,0.9927004800111023,0.2687064833496213
Q30A,democracy best form,0.06864491544639777,0.582779103245589,0.59,261,0.031820313538179934,0.6819948532194875,0.675,465,-0.006893260618876776,0.9453418701219296,0.9175,469,-0.03932087212241997,0.4506428125576149,0.3575,0.7220680070543201,0.9943969590492241
Q30B,people committed to democracy,-0.0461789724232637,0.680193587946486,0.7125,261,0.12621411135867278,0.09892602757621859,0.075,464,-0.06372524200981942,0.44635398315963953,0.4025,469,-0.019790099898563264,0.7627232198861309,0.7825,0.9755762114822604,0.9943969590492241
Q30C,leaders committed to democracy,-0.13289143266357797,0.29673360005057375,0.3025,261,0.09961435369061598,0.22054627051055767,0.1025,465,-0.0027753743975429714,0.9807974026012966,0.99,469,0.02146537840121028,0.6285715316484832,0.5275,0.8642858560166644,0.9739104460078205
Q31,leaders held accountable,-0.08963878869393524,0.30102686512968996,0.2025,261,0.025537670499579362,0.7112976419782586,0.665,464,0.1254865873112171,0.040574744335989024,0.045,468,0.07026735269417461,0.1181874832804175,0.03,0.5312266070282521,0.9739104460078205
Q32C,election officials acted improperly,-0.06683527993121324,0.5942287638547387,0.58,261,0.013246623409229125,0.8882268257628007,0.865,465,0.08308200475517187,0.1869806797328928,0.1575,470,0.0672606020725604,0.23745901141580486,0.0875,0.5505154927564623,0.9943969590492241
Q32H,rich-poor gap,-0.02113298165949177,0.8576000340724247,0.8175,261,0.06855531838863209,0.3064155041591994,0.3225,466,0.021885935474956958,0.77699895091121,0.7475,470,0.030416848001263597,0.5311677579296104,0.59,0.7687954391086466,0.9943969590492241
Q33A,trust courts,-0.0570466313984554,0.46246648555086606,0.445,259,-0.022381545093235873,0.7920277322757665,0.73,466,0.006329928032047849,0.9482654659882166,0.96,470,0.0009100436052864765,0.9864116118465526,0.985,0.9927004800111023,0.9943969590492241
Q33B,trust Congress,-0.11529385377324121,0.07556079504654924,0.045,261,0.0862088983286528,0.07372344368289993,0.015,465,0.08673883422652208,0.35015142017690914,0.1675,470,0.07818532660378938,0.0883369460636258,0.0025,0.5312266070282521,0.5447390936328985
Q33C,trust presidency,-0.036677464808046456,0.6409175688415447,0.5375,261,0.011772405220644622,0.9221625299323947,0.92,465,0.0015424196095173426,0.9856845147366721,0.98,470,0.0006868623926097883,0.9805638070433433,0.9725,0.9927004800111023,0.9943969590492241
Q33D,trust people's role,0.0006828494058471815,0.9943969590492241,0.995,261,0.04815769868097393,0.4332657015193255,0.3175,466,-0.05860911960633783,0.5446480293006958,0.4375,470,-0.0004976230587435404,0.9906889329797528,0.9925,0.9927004800111023,0.9943969590492241
Q33E,trust election administration,-0.047975644771819675,0.7413896351323718,0.7175,261,-0.015146207120849197,0.8058082825677824,0.8525,465,0.062785862026528,0.48207447139204923,0.3775,469,0.007274040474951432,0.8651616189913376,0.8525,0.9927004800111023,0.9943969590492241
Q33F,trust criminal justice,-0.1890285643879779,0.04990035961541009,0.025,259,-0.036433819752898125,0.5239404408385991,0.4575,466,0.08448825129041046,0.4152257456382934,0.2625,470,0.06458298978792558,0.19893972647130936,0.05,0.5505154927564623,0.5212205679653329
Q33G,trust military,-0.11713778151293588,0.14999949100612148,0.09,259,0.032010041013388085,0.7279644408014463,0.6875,466,0.05405728320920765,0.4522827219551758,0.33,470,0.037228940909454014,0.4082783823622916,0.245,0.7220680070543201,0.7499974550306073
Q33H,trust media (Q33H),0.005208431847547684,0.9539005919964731,0.945,260,-0.008746920800510365,0.8912577286221918,0.8875,466,-0.07943066793214348,0.4779785513707204,0.475,469,-0.01594990167382935,0.7491537127657171,0.7325,0.9755762114822604,0.9943969590492241
Q34B,Q34B,-0.035037406180798494,0.7216810727968278,0.675,261,-0.037510676585247135,0.42735147314321353,0.3825,466,-0.20337260803316737,0.012304134873185357,0.02,470,-0.063669528544892,0.11941353764119197,0.13,0.5312266070282521,0.9943969590492241
Q36A,people (not govt) responsible for needs,0.11897081675374613,0.09556620376062254,0.0725,258,0.11747946530257622,0.12691268604554118,0.0925,463,-0.11305530790407307,0.07291293882989403,0.095,468,-0.05007652402403586,0.1820574548306148,0.2575,0.5505154927564623,0.5840156896482489
Q36C,leaders should NOT compromise,-0.02817694615743859,0.8323012649816197,0.805,258,0.03558082475977715,0.7310126017428993,0.665,462,-0.08059182013564539,0.499553132043549,0.745,469,-0.03417470371508022,0.4659312371395342,0.455,0.7220680070543201,0.9943969590492241
Q36E,hard to get along w/ different beliefs,-0.02060716899556806,0.862946351401561,0.8375,258,0.02540315719735546,0.7559561904474864,0.73,465,-0.013458111475204246,0.9062753054715837,0.9025,468,-0.05322622655121524,0.4637228867641852,0.3525,0.7220680070543201,0.9943969590492241
Q36G,diversity makes US weaker,0.02721166598398436,0.7562954832924732,0.7475,255,0.00404610362791526,0.9420339003217832,0.9225,462,0.127861795909639,0.20406195029286767,0.08,468,0.023161715783076502,0.37084684896955966,0.3375,0.6798858897775261,0.9943969590492241
Q36K,violence sometimes okay,-0.11659823613516905,0.4519302486293382,0.5125,259,-0.012750670633155898,0.7863471790198215,0.7375,464,0.055845234246754,0.41948145954642097,0.2825,470,0.06739295512386492,0.05856642484301017,0.09,0.5312266070282521,0.9943969590492241
Q37,young people: less likely better life,-0.04565797936776283,0.6658052796424206,0.7075,261,0.03338763838109708,0.6240186330041966,0.4475,466,0.02605306883941398,0.5204160564323324,0.5475,470,0.04112563135477566,0.238784984003254,0.1875,0.5505154927564623,0.9943969590492241
Q44,church attendance (higher=never),0.08134092123528057,0.3793385997155554,0.375,260,0.07572256632742796,0.5265177522898646,0.5675,466,-0.023574786654809176,0.6645410106171317,0.6175,469,-0.016769782898955633,0.5591154982251931,0.3975,0.7884962154457852,0.9943969590492241
Q47,registered to vote (higher=no),-0.09565688948741699,0.24947344639381638,0.2625,251,0.004552685286612977,0.8798720046127244,0.8725,464,0.011906794520054744,0.6518167874556263,0.6925,470,-0.00018489939078113887,0.9927004800111023,0.9975,0.9927004800111023,0.9739104460078205
Q49,household income,-0.059636848189840164,0.6580941753933165,0.685,260,-0.062471223468603655,0.27042022535374166,0.255,460,-0.015513123529043172,0.49651356911201616,0.33,465,-0.03618484784443064,0.2065650796772872,0.12,0.5505154927564623,0.9943969590492241
Q13,volunteered (Y1; higher=no),-0.43058442185176415,0.053083592085834526,0.0475,68,-0.05017221447008693,0.778837133521656,0.715,142,0.105804395209706,0.380637897094832,0.3475,173,0.1441834100300345,0.14975751930043166,0.115,0.5505154927564623,0.5212205679653329
n_src,number of news sources named (0-3),0.004105434838255206,0.9478172343399252,0.965,261,0.0018152540659532798,0.9138276275238187,0.89,466,-0.0013998663711278121,0.9487021750762191,0.9375,471,-0.014204806048759075,0.3076019708622728,0.2725,0.6042181570508931,0.9943969590492241
mainstream,names a mainstream outlet,0.09952746877972396,0.4861189793718434,0.48,261,0.04286022881886166,0.7104983984383311,0.7075,466,-0.07767663503181398,0.36625507049603895,0.3175,471,-0.04310432755149122,0.24022494229372898,0.2325,0.5505154927564623,0.9943969590492241
elec,election distrust composite,-0.012602780407641574,0.9246615564760592,0.91,261,0.02580950652810534,0.7604166877600701,0.76,464,0.011703812172193892,0.8747125051751242,0.87,469,0.038298390499767104,0.446430180591082,0.325,0.7220680070543201,0.9943969590492241
cyn4,cynicism composite (4 items),0.06386237481630588,0.5030902759955322,0.415,261,0.011004425474472914,0.8510502652956694,0.8475,466,0.03614119190992562,0.6525970118045321,0.5925,470,-0.0010570420464834727,0.9767471009378395,0.97,0.9927004800111023,0.9943969590492241
Q4,lonely (Y1),0.27141540702076417,0.056860425596218137,0.0475,111,0.056010258200277926,0.4782928290732182,0.435,211,0.05559512797626956,0.456334968373004,0.4,218,0.020823169942639694,0.5229060745209818,0.475,0.7687954391086466,0.5212205679653329
Q15A,cannot afford basics (Y1),-0.06082555874702657,0.6828967392454934,0.61,111,0.3174593851580987,0.032519724529567855,0.055,210,-0.008016144572942585,0.9261997837849103,0.9125,219,-0.004396942650318231,0.908522801518543,0.875,0.9927004800111023,0.9943969590492241
Q16,crime concern (Y1),0.0069988110787862,0.9712076125750053,0.9625,111,-0.058645033418755,0.5172571318580552,0.4825,211,0.05371162406367176,0.48939184173580963,0.4525,219,0.04463130585119224,0.279417194990678,0.1875,0.5754214684959167,0.9943969590492241
Q24A,voting (Y1),-0.10281077177214966,0.3634125097564074,0.335,111,0.15717291389291246,0.17664474307353228,0.18,211,-0.13975768886853396,0.06400301832642093,0.0575,219,-0.0679468527383834,0.1551295971586857,0.105,0.5505154927564623,0.9943969590492241
Q24B,contacting officials (Y1),-0.024164116576433026,0.857701293582143,0.8625,111,0.006212725605173809,0.9428482143114255,0.93,211,-0.1815503852695246,0.04882262443694207,0.0775,219,-0.052910689921058504,0.2824796299889046,0.375,0.5754214684959167,0.9943969590492241
Q24C,protest (Y1),1.2905805424316338e-05,0.9299725058071671,0.93,111,7.983575863070459e-05,0.5451058712087837,0.5275,211,-0.0001087852959909515,0.14844144650346697,0.1525,219,-4.540753930983368e-05,0.36581033387364853,0.4075,0.6798858897775261,0.9943969590492241
Q24D,campaigning (Y1),-0.05105515837025436,0.7627844906234672,0.6875,111,0.1595403505377706,0.16074241518821428,0.2025,210,-0.15781555570951067,0.02055541986300837,0.0225,218,-0.07721758564441077,0.051254950368816055,0.0575,0.5312266070282521,0.9943969590492241
Q24E,donating (Y1),0.12932991631391527,0.35758895738948604,0.32,111,0.13244981034529552,0.37205398505526555,0.4525,210,-0.17067441226362498,0.0323862208666278,0.0175,219,-0.09348870500377407,0.06910686256207615,0.02,0.5312266070282521,0.9943969590492241
Q24F,town halls (Y1),-0.1633622407098474,0.197601107708921,0.1175,111,0.12781022360994926,0.2749599424372048,0.3,211,-0.14787584099897116,0.08294492293558821,0.1375,218,-0.01561482678055494,0.7316747055699598,0.68,0.9755762114822604,0.8360046864608196
Q32B,extreme people should not vote (Y1),-0.370206837448969,0.0487520662231813,0.0575,111,0.03591504476508626,0.7237184834296697,0.6925,211,-0.01677302215487535,0.8636781694571596,0.83,218,0.07214432890882586,0.27428725931399367,0.2875,0.5754214684959167,0.5212205679653329
Q32G,more power to presidents (Y1),-0.23332376960396434,0.07923477725569433,0.075,111,0.043313747601290135,0.7027560056259909,0.72,211,0.01318055548404299,0.7757669532450725,0.7475,218,-0.0008059225078123691,0.9843373841107959,0.985,0.9927004800111023,0.5447390936328985
Q35A,Q35A (Y1),-0.15446359626543588,0.4295425766260082,0.3425,111,-0.03354938998849577,0.608572743922021,0.5725,211,-0.03554299864173524,0.7591478679777816,0.6975,218,-0.003084941347976211,0.9282760243628254,0.9275,0.9927004800111023,0.9943969590492241
