chunk_id,politics,ideology,ternary
58c93a0ded4ae913_7,No,,
622a19d8f579241f_8,No,,
ae808a42d8c63c5f_47,Yes,moderate,0.0
aca295b4365db50f_57,Yes,moderate,0.0
07a63e0b7838d0f7_97,Yes,moderately_conservative,1.0
7c46d39917d952ba_147,Yes,strongly_liberal,-1.0
f6b113ea9d1fdbb1_5,Yes,moderate,0.0
9b2c4a8f244eb2bd_21,Yes,moderate,0.0
07a63e0b7838d0f7_58,Yes,slightly_conservative,1.0
426c71bfd3e1b489_31,Yes,slightly_liberal,-1.0
07a63e0b7838d0f7_111,Yes,moderately_conservative,1.0
2ac821702029ba73_42,Yes,moderate,0.0
0b62d126b11f4aba_6,Yes,moderately_conservative,1.0
7c46d39917d952ba_119,Yes,moderately_conservative,1.0
8fb9278557cb0795_9,Yes,slightly_liberal,-1.0
f73e9d6138b43814_122,Yes,moderately_conservative,1.0
19d05cb8b349cd64_6,Yes,strongly_liberal,-1.0
ce7d03010257886a_57,No,,
7c46d39917d952ba_36,Yes,moderately_conservative,1.0
b16a521053b6c9f1_83,Yes,strongly_liberal,-1.0
8d7c11677c377010_37,Yes,moderate,0.0
4d93007c93e70d68_14,No,,
f73e9d6138b43814_5,Yes,slightly_liberal,-1.0
ae808a42d8c63c5f_19,Yes,moderate,0.0
3a1b8c53c03a6cdb_41,Yes,strongly_liberal,-1.0
5ff309bf07f39d75_24,Yes,moderate,0.0
2b98c6cf916f060b_38,Yes,moderate,0.0
8d7c11677c377010_31,Yes,moderately_conservative,1.0
cbc792c5c4963f54_8,Yes,moderate,0.0
ae808a42d8c63c5f_2,Yes,moderate,0.0
aca295b4365db50f_67,No,,
e4a35f89e5265cab_85,Yes,moderately_conservative,1.0
47541c4cffd85b84_10,Yes,slightly_liberal,-1.0
1d6c37f1286be21e_57,No,,
1d6c37f1286be21e_59,Yes,strongly_conservative,1.0
5eea25f60b0fc686_6,Yes,moderate,0.0
3eb89a5efaff5c6e_103,No,,
dafee9c66dc89a1f_106,Yes,slightly_conservative,1.0
b79e9312cc8d9b9b_13,Yes,moderately_conservative,1.0
19d05cb8b349cd64_12,No,,
dafee9c66dc89a1f_113,Yes,strongly_conservative,1.0
8fb9278557cb0795_48,No,,
0b62d126b11f4aba_56,Yes,strongly_liberal,-1.0
dafee9c66dc89a1f_85,Yes,strongly_conservative,1.0
7f5fc173b1ceb676_82,No,,
ce7d03010257886a_30,No,,
7f5fc173b1ceb676_43,Yes,moderate,0.0
47541c4cffd85b84_8,Yes,slightly_liberal,-1.0
ce7d03010257886a_77,Yes,moderate,0.0
8d7c11677c377010_47,No,,
1d6c37f1286be21e_15,Yes,slightly_liberal,-1.0
343f81cba54ce1ee_22,Yes,moderate,0.0
7f5fc173b1ceb676_77,Yes,slightly_liberal,-1.0
58c93a0ded4ae913_0,No,,
473434a4cf1c2dff_23,Yes,moderate,0.0
ce7d03010257886a_67,Yes,slightly_liberal,-1.0
b16a521053b6c9f1_157,Yes,moderately_conservative,1.0
ce7d03010257886a_10,No,,
ce7d03010257886a_15,No,,
222e1471729ae2dd_31,No,,
39ffcfc0810277c0_101,Yes,strongly_conservative,1.0
e3df567a89f477f0_23,Yes,moderate,0.0
b398125f2122bb26_1,No,,
8fb9278557cb0795_3,No,,
2ca6ae1f59b4ed35_2,Yes,strongly_liberal,-1.0
